,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2019-06-30,0.84520,0.70870,5.32920,91.30110,33.05150,33.05150,33.05150,23.23220,0.01000,0.11270,798.26130,3.03810,2.66360,0.25620,0.77590,252.09960,21.4828,19.315
2019-03-31,0.85880,0.71320,5.24820,91.34780,30.87320,30.87320,30.87320,24.77580,0.00950,0.11990,750.47340,2.84680,2.49350,0.24330,0.71520,246.12840,-116.02510,-115.66420
2018-12-31,0.93190,0.71310,5.38350,129.33170,33.51490,33.51490,33.51490,28.73760,0.00870,0.11150,807.04820,3.21340,2.81420,0.27240,0.80740,245.23990,36.5089,34.4263
2018-09-30,0.89940,0.72560,5.91040,91.90480,34.89800,34.89800,34.89800,27.81180,0.00920,0.10590,850.15310,3.34040,2.90910,0.26370,0.79840,232.76880,-13.5036,-17.7691
2018-06-30,0.90450,0.72420,6.00920,91.57330,33.99750,33.99750,33.99750,24.36700,0.00990,0.10870,827.86740,3.40200,2.96190,0.26480,0.81700,229.17120,21.8926,18.707
2018-03-31,0.91750,0.72990,6.41020,91.62700,33.91870,33.91870,33.91870,27.15280,0.01040,0.09330,964.45530,3.91290,3.38840,0.29090,0.91510,221.28060,-2.44790,-3.85980
2017-12-31,0.92800,0.72580,6.08970,91.37910,36.60350,36.60350,36.60350,-25.23850,0.00930,0.10010,898.70680,-2.73900,-2.34430,-0.21030,-0.64280,219.42640,-22.023,-24.0326
2017-09-30,0.89740,0.71060,5.72760,91.46050,35.74350,35.74350,35.74350,24.44150,0.00900,0.09450,952.78280,2.83400,2.46600,0.22880,0.71370,227.62390,6.0483,4.867
2017-06-30,0.89310,0.70150,5.56870,90.60480,31.81180,31.81180,31.81180,20.67960,0.00870,0.08610,1045.65200,2.42610,2.11250,0.20200,0.63070,223.26660,-26.0413,-27.4188
2017-03-31,0.91870,0.69640,5.42790,91.37800,31.63470,31.63470,31.63470,26.93750,0.00900,0.10010,899.43930,2.97830,2.59440,0.25220,0.78770,220.15900,-8.06710,-9.87860
2016-12-31,0.92220,0.68510,5.13690,89.29600,40.67290,40.67290,40.67290,25.77830,0.00970,0.12690,709.31040,3.10080,2.70100,0.27290,0.85040,221.30900,8.0332,6.3479
2016-09-30,0.93370,0.68630,5.16820,92.49510,35.11260,35.11260,35.11260,25.71010,0.00930,0.10270,876.37610,2.75860,2.40390,0.23800,0.75410,218.20490,-10.28,-12.1179
2016-06-30,0.94540,0.67990,5.27740,92.12050,31.05140,31.05140,31.05140,20.60010,0.00880,0.10110,890.02640,2.41930,2.10600,0.20320,0.67420,212.77840,22.8538,21.4794
2016-03-31,0.92770,0.67480,5.32130,89.09750,24.86590,24.86590,24.86590,18.93340,0.00720,0.08760,1027.65900,1.50060,1.30700,0.12930,0.42510,207.95700,-5.68170,-6.49310
2015-12-31,0.87220,0.66920,5.16430,91.39280,14.73950,14.73950,14.73950,7.89220,0.00840,0.10120,889.51880,1.01290,0.88210,0.08880,0.29180,206.75070,20.3118,19.1779
2015-09-30,0.91590,0.66720,5.25410,90.30750,29.82070,29.82070,29.82070,19.38490,0.00780,0.06930,1298.67100,1.86400,1.62590,0.16190,0.54110,204.95950,2.7537,1.7938
2015-06-30,0.88190,0.66010,5.24560,92.86580,19.03190,19.03190,19.03190,10.10030,0.01050,0.09580,939.64610,1.37080,1.19560,0.12190,0.40630,202.54270,-16.9434,-17.7251
2015-03-31,0.83720,0.65790,5.37460,93.99080,37.05380,37.05380,37.05380,25.88300,0.01230,0.10800,833.30320,3.74570,3.34090,0.32860,1.14300,197.01080,14.55170,13.92740
2014-12-31,0.86070,0.66890,5.56200,91.29810,41.75340,41.75340,41.75340,26.43080,0.00900,0.08140,1106.02400,2.94310,2.61600,0.25310,0.86610,192.43530,10.0725,9.7496
2014-09-30,0.83910,0.66770,5.76740,92.55990,39.40620,39.40620,39.40620,25.55150,0.00970,0.06710,1341.42600,3.06670,2.72380,0.25790,0.90520,188.81930,-19.0771,-19.4028
2014-06-30,0.80280,0.67170,5.86210,93.28220,30.91510,30.91510,30.91510,21.40270,0.01060,0.07650,1176.10500,2.81240,2.49540,0.23690,0.81920,185.21110,0.9524,0.5597
2014-03-31,0.83420,0.67680,6.63190,93.62140,32.38640,32.38640,32.38640,20.89410,0.01020,0.08120,1108.34700,2.82760,2.57020,0.22200,0.83070,176.54770,-8.71030,-9.03840
2013-12-31,0.81820,0.67230,6.90000,93.23620,40.44640,40.44640,40.44640,25.59780,0.00960,0.08970,1003.09700,3.27220,2.97200,0.25580,0.97400,175.79350,4.5345,4.1338
2013-09-30,0.82950,0.68410,6.98760,91.47580,32.23740,32.23740,32.23740,21.25860,0.00730,0.06880,1308.36100,2.15430,1.95450,0.16430,0.61740,175.80110,-6.6309,-6.9314
2013-06-30,0.78760,0.67490,7.11710,92.88200,30.71300,30.71300,30.71300,21.60940,0.00920,0.08850,1017.43300,2.72570,2.47430,0.20580,0.80430,173.24370,22.3666,22.0808
2013-03-31,0.74590,0.68380,7.34490,94.44000,33.42910,33.42910,33.42910,21.68480,0.01050,0.10250,877.86130,3.18180,2.92640,0.23560,0.92530,167.60200,-11.17690,-11.47900
2012-12-31,0.70730,0.68840,7.34110,94.04500,46.69770,46.69770,46.69770,30.67350,0.00980,0.10110,890.19700,4.16020,3.81950,0.30810,1.19000,162.77830,1.4098,0.9521
2012-09-30,0.72100,0.69500,7.71570,93.44990,27.51770,27.51770,27.51770,17.45900,0.00880,0.10390,865.86880,2.21260,2.05190,0.15930,0.62590,156.30490,3.8657,3.5442
2012-06-30,0.75800,0.69620,7.70450,91.79120,21.35210,21.35210,21.35210,13.98820,0.00700,0.07630,1179.08600,1.41460,1.32040,0.10140,0.40110,151.46850,12.5437,12.2682
2012-03-31,0.76660,0.70540,8.17680,94.30090,31.97310,31.97310,31.97310,20.84630,0.01050,0.12120,742.66060,3.07630,2.94320,0.22180,0.86700,144.69790,7.13530,6.42290
2011-12-31,0.78890,0.71150,8.19340,90.74230,20.61500,20.61500,20.61500,16.16800,0.00660,0.08120,1107.92700,1.50570,1.43940,0.10970,0.41530,144.97150,35.7147,35.5156
2011-09-30,0.78610,0.71480,8.36970,81.37720,-20.35130,-20.35130,-20.35130,-11.93200,0.00380,0.04060,2216.78000,-0.58670,-0.56070,-0.04140,-0.15990,142.27510,-17.532,-18.4637
2011-06-30,0.78170,0.70770,8.09670,91.55340,22.13980,22.13980,22.13980,14.44860,0.00780,0.07730,1163.80700,1.56950,1.50230,0.11600,0.43910,142.47350,18.9623,18.5668
2011-03-31,0.77160,0.70570,8.18490,94.78730,33.96670,33.96670,33.96670,7.63410,0.01270,0.13570,662.99900,3.94270,3.77400,0.29300,1.11060,139.92400,3.25900,2.79930
2010-12-31,0.79800,0.69270,7.43180,93.31170,40.19900,40.19900,40.19900,25.76950,0.00950,0.11060,813.77000,3.39070,3.08570,0.26190,0.94810,152.41630,-14.5156,-15.0542
2010-09-30,0.81460,0.70990,7.57830,94.17050,31.57360,31.57360,31.57360,19.51030,0.00980,0.11520,781.57360,2.76270,2.50870,0.20890,0.72780,147.90680,1.1435,0.4031
2010-06-30,0.82300,0.70750,7.47330,92.96460,16.37820,16.37820,16.37820,5.12390,0.01000,0.12500,720.18320,0.91680,0.83040,0.06940,0.24290,143.20250,16.9381,16.6676
2010-03-31,0.81440,0.71210,7.59040,95.60080,40.38360,40.38360,40.38360,25.80040,0.01450,0.17880,503.31670,5.23740,4.73790,0.39250,1.36410,141.86170,-12.71860,-13.14240
2009-12-31,0.80430,0.72360,7.34400,93.67660,76.72390,76.72390,76.72390,49.78680,0.01130,0.14160,635.56940,7.76070,6.99720,0.58280,1.93430,137.27840,48.2401,47.3411
2009-09-30,0.79780,0.74380,8.43480,95.31200,38.74880,38.74880,38.74880,24.47460,0.01400,0.17690,508.74880,5.45920,4.87800,0.36140,1.24980,127.38180,11.404,10.7217
2009-06-30,0.79500,0.75280,8.87200,95.82880,36.54530,36.54530,36.54530,19.75150,0.01550,0.19030,472.95620,6.14970,5.46860,0.38620,1.35210,122.98500,22.5392,21.9559
2009-03-31,0.81240,0.74790,9.00770,94.31300,27.89390,27.89390,27.89390,17.60210,0.01020,0.13370,673.07590,3.85580,2.85430,0.19600,0.71960,137.47940,6.53520,6.02410
