Date,current-ratio-quarterly,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,inventory-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-12-31,0.6031,0.4293,0.8519,35.3652,9.5917,9.5917,8.8787,6.705,0.1222,1.6622,2.2255,40.4405,2.1694,-3.5961,0.8207,1.238,19.7088,0.9972,0.8629
2022-09-30,0.692,0.4262,0.8123,33.6597,8.7466,8.7466,8.2185,6.853,0.1141,1.5178,2.2161,40.6119,1.9985,-3.5462,0.7834,1.1467,19.5043,0.4084,0.6733
2022-06-30,0.6783,0.3933,0.6973,36.3074,12.744,12.744,11.8092,10.2695,0.1102,1.525,2.286,39.3704,2.7148,-5.8034,1.1331,1.6471,20.078,0.6071,0.3935
2022-03-31,0.6821,0.394,0.6983,38.4209,14.0907,14.0907,12.3519,11.0124,0.1142,1.6846,2.1029,42.7975,3.0515,-6.5074,1.2663,1.8492,20.3914,0.809,0.7454
2021-12-31,0.7383,0.3826,0.6889,36.994,15.7221,15.7221,14.9256,13.0974,0.1141,1.7818,2.4021,37.4667,3.5484,-8.4129,1.4979,2.1908,20.3524,0.9988,-0.1293
2021-09-30,0.7332,0.3893,0.7201,39.3205,18.0173,18.0173,17.3907,17.516,0.1067,1.4914,2.1574,41.7168,4.5471,-9.9464,1.8747,2.7769,19.897,0.6663,1.5659
2021-06-30,0.6144,0.3816,0.6885,39.6116,13.1286,13.1286,13.0684,16.2301,0.0999,1.3713,2.2801,39.4716,3.9066,-8.0879,1.6231,2.4157,19.7356,0.622,0.4732
2021-03-31,0.6078,0.3845,0.7194,40.9782,17.7259,17.7259,15.3219,13.2772,0.1091,1.6213,2.1834,41.22,3.5655,-7.2656,1.459,2.1945,19.3237,0.6435,0.5028
2020-12-31,0.6583,0.3845,0.7249,39.3533,15.744,15.744,12.8939,15.84,0.1076,1.6721,2.4705,36.4292,4.1911,-9.1095,1.7092,2.5796,19.486,1.1455,0.0493
2020-09-30,0.7447,0.4117,0.7442,41.8905,17.0293,17.0293,16.2641,16.7892,0.1006,1.3637,2.181,41.2663,4.1513,-9.0755,1.6936,2.4421,18.9028,0.5227,1.3361
2020-06-30,0.5499,0.3801,0.755,39.435,12.0623,12.0623,11.1487,9.2032,0.0921,1.321,2.2648,39.7395,2.0884,-4.2655,0.849,1.2945,18.2745,0.8862,0.597
2020-03-31,0.5333,0.3415,0.7685,36.5439,12.7628,12.7628,10.422,10.9736,0.1055,1.7435,2.0337,44.2553,2.8852,-6.3315,1.1683,1.9,18.0418,0.1965,0.1765
2019-12-31,0.498,0.3421,0.6745,39.9103,13.1057,13.0624,12.3535,11.3699,0.1072,1.6316,2.3618,38.1065,2.8883,-6.868,1.223,1.9001,19.0362,1.4287,1.2071
2019-09-30,0.5041,0.3191,0.7264,39.5909,13.7844,13.8316,10.7632,22.439,0.0995,1.4001,2.0016,44.9646,5.3248,-12.7393,2.2396,3.6258,18.6537,0.5734,0.5357
2019-06-30,0.4403,0.3101,0.7343,40.7291,16.9086,16.9086,15.4405,13.2465,0.0954,1.3156,2.0969,42.9215,3.0718,-6.4475,1.2647,2.1192,18.1449,0.3991,0.2616
2019-03-31,0.4819,0.3243,0.7495,39.6605,15.8458,15.8458,14.8822,13.9798,0.1019,1.5057,1.849,48.6754,3.5509,-7.2242,1.4339,2.3992,17.9442,0.3183,0.1369
2018-12-31,0.4543,0.3277,0.7145,37.6347,12.8451,12.8451,11.3244,11.2063,0.108,1.6296,2.2532,39.9439,2.9635,-5.8552,1.2147,1.9924,17.7209,1.3832,1.3696
2018-09-30,0.5624,0.3678,0.7858,38.3906,11.7207,11.7207,10.6552,18.9886,0.0984,1.3631,1.7579,51.1975,4.6882,-8.864,1.8727,2.964,17.5226,0.4792,0.3686
2018-06-30,0.553,0.3701,0.7795,41.5576,7.8698,7.8698,4.0576,5.2029,0.0971,1.3313,1.8899,47.6211,1.2655,-2.2732,0.5081,0.7971,17.2447,0.524,0.3612
2018-03-31,0.4983,0.3317,0.7076,42.1138,18.0931,18.0931,17.1027,15.4619,0.1049,1.4947,1.7109,52.6031,3.9623,-7.7575,1.6309,2.6479,17.9231,0.2704,0.0884
2017-12-31,0.4762,0.3322,0.677,38.085,11.915,14.6282,10.3933,10.3216,0.1106,1.6867,1.9756,45.5556,2.7882,-5.326,1.1548,1.8619,17.5213,1.1707,1.0021
2017-09-30,0.5086,0.3311,0.7139,39.0352,17.9326,17.9326,17.7948,15.023,0.1032,1.4315,1.6688,53.9311,3.7626,-7.2153,1.5516,2.5169,17.4531,0.3528,0.2258
2017-06-30,0.5264,0.339,0.7282,38.6569,10.6248,10.5747,8.6368,8.3194,0.0954,1.355,1.8096,49.7361,1.9386,-3.6665,0.7967,1.2815,17.0718,0.5296,0.4191
2017-03-31,0.5589,0.3341,0.7144,39.2579,12.8625,12.8625,11.241,9.8223,0.1033,1.4967,1.6599,54.2189,2.4612,-4.8346,1.0197,1.6388,16.9102,-0.3594,-0.5445
2016-12-31,0.5882,0.3439,0.6821,37.8877,7.2674,7.4003,-1.0044,1.0192,0.11,1.7031,1.951,46.13,0.2736,-0.5242,0.1121,0.1795,16.498,1.0821,0.8968
