Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,0.417,0.7152,20.7276,20.7276,75.198,74.3658,0.033,4.4122,4.4122,2.453,2.5724,80.1741,3.1445,2.5902
2022-06-30,0.4229,0.7328,21.03,21.03,21.4731,21.5172,0.0326,1.2692,1.2692,0.7009,0.7324,78.0806,2.1186,0.0474
2022-03-31,0.4217,0.7292,18.7574,18.7574,43.091,42.6833,0.0309,2.3874,2.3874,1.319,1.3806,78.5113,2.4553,1.5352
2021-12-31,0.4257,0.7412,19.889,19.889,56.4867,55.7568,0.0302,3.0668,3.0668,1.6847,1.7613,78.2321,2.0868,-0.2553
2021-09-30,0.419,0.7211,12.8002,12.8002,13.9514,13.5877,0.0298,0.7309,0.7309,0.4048,0.4246,77.258,2.4529,-0.9381
2021-06-30,0.4085,0.6906,15.7814,15.7814,79.7495,79.7434,0.0291,4.1066,4.1066,2.3191,2.4291,78.1317,1.7061,3.3073
2021-03-31,0.414,0.7065,16.095,16.095,25.6705,25.8055,0.0288,1.3332,1.3332,0.7439,0.7812,76.4226,2.3657,1.2759
2020-12-31,0.413,0.7035,16.5129,16.5129,61.0492,61.444,0.0289,3.1725,3.1725,1.7767,1.8623,77.0616,1.8422,2.6687
2020-09-30,0.4148,0.7089,19.6539,19.6539,26.0291,26.0314,0.0296,1.3844,1.3844,0.7716,0.8101,76.3092,2.3737,1.2248
2020-06-30,0.4124,0.7019,22.9743,22.9743,29.4474,29.6368,0.0298,1.5718,1.5718,0.883,0.9236,77.2387,2.0414,1.3995
2020-03-31,0.4258,0.7415,23.0767,23.0767,27.9107,27.8898,0.0303,1.5396,1.5396,0.8446,0.8841,77.5408,2.4273,0.8198
2019-12-31,0.399,0.6639,27.3919,27.3919,28.5556,28.2445,0.031,1.5256,1.5256,0.8769,0.9169,78.142,2.2133,-0.9336
2019-09-30,0.405,0.6807,27.1949,27.1949,49.5042,47.5954,0.0308,2.5863,2.5863,1.4675,1.5389,77.4386,2.6894,1.5752
2019-06-30,0.4061,0.6839,25.7229,25.7229,29.1557,29.1515,0.0305,1.5656,1.5656,0.889,0.9297,76.9781,1.9618,-0.0173
2019-03-31,0.3961,0.6559,27.7018,27.7018,30.0983,30.0902,0.0304,1.5876,1.5876,0.9143,0.9588,76.9998,2.6059,0.3102
2018-12-31,0.3984,0.6621,24.4879,24.4879,66.616,66.6758,0.0315,3.6269,3.6269,2.0981,2.1821,76.7653,2.3197,1.3234
2018-09-30,0.4201,0.7245,26.8993,26.8993,33.4101,33.4188,0.0309,1.8505,1.8505,1.031,1.0731,75.2225,2.5648,1.119
2018-06-30,0.4213,0.7281,26.042,26.042,44.7266,44.7373,0.0305,2.448,2.448,1.3633,1.4165,75.2304,2.2374,2.0458
2018-03-31,0.4237,0.7353,24.936,24.936,25.2482,25.2577,0.0301,1.37,1.37,0.7593,0.7895,74.7795,2.2867,-0.0127
2017-12-31,0.4137,0.7056,27.0196,27.0196,42.775,42.34,0.0302,2.2861,2.2861,1.2896,1.3404,75.2245,2.3474,-0.0611
2017-09-30,0.4082,0.6898,28.7079,28.7079,43.2739,43.2785,0.0303,2.305,2.305,1.3104,1.3641,74.8355,2.5853,-0.5055
2017-06-30,0.4048,0.68,22.627,22.627,31.1495,31.1444,0.0296,1.6066,1.6066,0.9206,0.9563,74.4655,1.9856,0.9464
2017-03-31,0.4056,0.6824,27.2822,27.2822,45.1444,45.1586,0.0291,2.2966,2.2966,1.3115,1.3651,74.5108,2.1806,1.3805
2016-12-31,0.4087,0.6912,27.5674,27.5674,46.7724,46.742,0.029,2.381,2.381,1.3555,1.4079,74.065,2.1811,0.5247
2016-09-30,0.4044,0.6791,27.8475,27.8475,69.032,69.04,0.0293,3.5503,3.5503,2.0259,2.1144,73.0867,2.2347,0.5056
2016-06-30,0.4095,0.6933,27.3417,27.3417,39.2897,39.3074,0.0289,2.0019,2.0019,1.1343,1.1822,71.7814,2.0029,-0.0783
2016-03-31,0.3977,0.6604,30.7401,30.7401,46.7876,46.7909,0.0298,2.4158,2.4158,1.3957,1.455,71.7876,2.022,-0.7643
2015-12-31,0.3962,0.6562,30.1654,30.1654,32.3364,32.3241,0.0284,1.5787,1.5787,0.9175,0.9532,71.8276,2.0884,0.1172
2015-09-30,0.3908,0.6416,31.766,31.766,43.3598,43.3655,0.0283,2.0965,2.0965,1.228,1.2771,71.8123,2.2001,0.0662
2015-06-30,0.4133,0.7043,29.0739,29.0739,37.937,37.6698,0.028,1.8702,1.8702,1.0554,1.0973,69.3101,1.9212,-0.387
2015-03-31,0.4191,0.7213,24.4892,24.4892,47.0352,47.0523,0.0272,2.2869,2.2869,1.2792,1.3286,68.8215,1.7749,-1.7903
2014-12-31,0.4177,0.7174,27.7285,27.7285,34.471,32.3705,0.0273,1.5755,1.5755,0.8831,0.9174,68.5074,1.8932,-0.651
2014-09-30,0.4083,0.6901,25.6452,25.6452,55.9784,56.0014,0.0271,2.6644,2.6644,1.5175,1.5765,68.5212,1.7172,-0.7242
2014-06-30,0.4149,0.709,25.0219,25.0219,41.613,38.2029,0.0264,1.952,1.952,1.0997,1.1422,67.2732,1.446,0.3095
2014-03-31,0.4258,0.7415,24.5447,24.5447,25.8502,35.4281,0.0257,1.2016,1.2016,0.6642,0.69,66.4264,1.6996,-0.1348
2013-12-31,0.4163,0.7133,10.9243,10.9243,22.3785,63.9857,0.0257,1.0257,1.0257,0.5755,0.5987,66.4497,2.0546,1.9921
2013-09-30,0.4185,0.7196,-4.9354,-4.9354,-4.0978,-2.7532,0.0257,-0.1882,-0.1882,-0.1053,-0.1095,65.4802,1.5748,-0.9952
2013-06-30,0.406,0.6835,0.2734,0.2734,0.0883,9.5762,0.0253,0.0039,0.0039,0.0022,0.0023,66.1811,1.3843,-0.2842
2013-03-31,0.4064,0.6846,14.5525,14.5525,-4.9005,25.0291,0.0198,-0.1706,-0.1706,-0.0972,-0.1012,66.925,0.6776,-4.7028
2012-12-31,0.3602,0.563,18.7066,18.7066,23.4453,50.807,0.0216,0.8254,0.8254,0.5059,0.5281,59.7956,1.6711,-2.7061
2012-09-30,0.4465,0.8066,24.2108,24.2108,31.5348,33.2327,0.0291,1.7456,1.7456,0.9188,0.9662,48.3172,1.5286,-1.5426
2012-06-30,0.4232,0.7338,22.3554,22.3554,22.9306,62.1557,0.03,1.2633,1.2633,0.6881,0.7286,47.4416,1.2162,0.8705
2012-03-31,0.435,0.77,21.029,21.029,21.8159,23.4758,0.0299,1.2226,1.2226,0.6513,0.6907,46.0481,1.1013,-0.67
2011-12-31,0.4498,0.8176,16.0088,16.0088,15.3014,168.048,0.0227,0.6683,0.6683,0.3468,0.3677,46.25,1.535,1.927
2011-09-30,0.4766,0.9107,17.2621,17.2621,18.1972,18.3917,0.0287,1.0671,1.0671,0.5225,0.5585,43.7432,0.8605,-0.7678
2011-06-30,0.534,1.1457,14.7885,14.7885,14.9562,18.4111,0.0297,1.0127,1.0127,0.4436,0.472,39.2332,1.4927,-0.6341
2011-03-31,0.5413,1.1802,13.4381,13.4381,13.6582,13.2766,0.029,0.9124,0.9124,0.396,0.4185,39.178,0.8416,-0.4987
2010-12-31,0.5451,1.1983,8.8962,8.8962,9.1149,14.62,0.0232,0.4989,0.4989,0.2115,0.2269,38.5987,1.1914,0.0017
2010-09-30,0.5444,1.1949,11.7651,11.7651,11.621,10.9302,0.0294,0.7934,0.7934,0.3416,0.3615,38.7387,0.6943,-0.4909
2010-06-30,0.5421,1.184,12.9975,12.9975,13.2077,23.2026,0.0286,0.8726,0.8726,0.3777,0.3996,39.1978,1.2015,1.0617
2010-03-31,0.5575,1.2597,9.2704,9.2704,9.3758,33.6613,0.0287,0.6442,0.6442,0.269,0.2851,37.9192,0.8369,0.3618
2009-12-31,0.5658,1.3032,-1.1841,-1.1841,-0.6444,16.7941,0.0259,-0.0408,-0.0408,-0.0167,-0.0177,37.4116,1.2858,1.2744
2009-09-30,0.5898,1.438,12.7021,12.7021,12.9025,27.043,0.0271,0.9001,0.9001,0.3492,0.3692,37.8559,1.016,0.1983
2009-06-30,0.5812,1.3876,15.4853,15.4853,6.1524,8.3266,0.028,0.4367,0.4367,0.1724,0.1829,37.4161,1.2322,-0.8134
2009-03-31,0.5555,1.2499,18.9188,18.9188,20.5671,22.6121,0.0288,1.4183,1.4183,0.5931,0.6304,38.0746,1.1382,-0.735
