,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,48304.00000,60932.00000,4946.00000,21223.00000,135405.00000,42117.00000,120805.00000,,54428.00000,217350.00000,352755.00000,153982.00000,98959.00000,49142.00000,148101.00000,302083.00000,64849.00000,-3068.00000,-11109.00000,50672.00000,352755.00000
2021-09-30,62639.00000,51506.00000,6580.00000,14111.00000,134836.00000,39440.00000,127877.00000,,48849.00000,216166.00000,351002.00000,125481.00000,109106.00000,53325.00000,162431.00000,287912.00000,57365.00000,5562.00000,163.00000,63090.00000,351002.00000
2020-09-30,90943.00000,37445.00000,4061.00000,11264.00000,143713.00000,36766.00000,100887.00000,,42522.00000,180175.00000,323888.00000,105392.00000,98667.00000,54490.00000,153157.00000,258549.00000,50779.00000,14966.00000,-406.00000,65339.00000,323888.00000
2019-09-30,100557.00000,45804.00000,4106.00000,12352.00000,162819.00000,37378.00000,105341.00000,,32978.00000,175697.00000,338516.00000,105718.00000,91807.00000,50503.00000,142310.00000,248028.00000,45174.00000,45898.00000,-584.00000,90488.00000,338516.00000
2018-09-30,66301.00000,48995.00000,3956.00000,12087.00000,131339.00000,41304.00000,170799.00000,,22283.00000,234386.00000,365725.00000,115929.00000,93735.00000,48914.00000,142649.00000,258578.00000,40201.00000,70400.00000,-3454.00000,107147.00000,365725.00000
2017-09-30,74181.00000,35673.00000,4855.00000,13936.00000,128645.00000,33783.00000,194714.00000,,18177.00000,246674.00000,375319.00000,100814.00000,97207.00000,40415.00000,140458.00000,241272.00000,35867.00000,98330.00000,-150.00000,134047.00000,375319.00000
2016-09-30,67155.00000,29299.00000,2132.00000,8283.00000,106869.00000,27010.00000,170430.00000,8620.00000,8757.00000,214817.00000,321686.00000,79006.00000,75427.00000,36074.00000,114431.00000,193437.00000,31251.00000,96364.00000,634.00000,128249.00000,321686.00000
2015-09-30,41601.00000,30343.00000,2349.00000,15085.00000,89378.00000,22471.00000,164065.00000,9009.00000,5422.00000,200967.00000,290345.00000,80610.00000,53329.00000,33427.00000,90380.00000,170990.00000,27416.00000,92284.00000,-345.00000,119355.00000,290345.00000
2014-09-30,25077.00000,27219.00000,2111.00000,9806.00000,68531.00000,20624.00000,130162.00000,8758.00000,3764.00000,163308.00000,231839.00000,63448.00000,28987.00000,24826.00000,56844.00000,120292.00000,23313.00000,87152.00000,1082.00000,111547.00000,231839.00000
2013-09-30,40546.00000,20641.00000,1764.00000,6882.00000,73286.00000,16597.00000,106215.00000,5756.00000,5146.00000,133714.00000,207000.00000,43658.00000,16960.00000,20208.00000,39793.00000,83451.00000,19764.00000,104256.00000,-471.00000,123549.00000,207000.00000
2012-09-30,29129.00000,18692.00000,791.00000,6458.00000,57653.00000,15452.00000,92122.00000,5359.00000,5478.00000,118411.00000,176064.00000,38542.00000,,16664.00000,19312.00000,57854.00000,16422.00000,101289.00000,499.00000,118210.00000,176064.00000
2011-09-30,25952.00000,11717.00000,776.00000,4529.00000,44988.00000,7777.00000,55618.00000,4432.00000,3556.00000,71383.00000,116371.00000,27970.00000,,10100.00000,11786.00000,39756.00000,13331.00000,62841.00000,443.00000,76615.00000,116371.00000
2010-09-30,25620.00000,9924.00000,1051.00000,3447.00000,41678.00000,4768.00000,25391.00000,1083.00000,2263.00000,33505.00000,75183.00000,20722.00000,,5531.00000,6670.00000,27392.00000,10668.00000,37169.00000,-46.00000,47791.00000,75183.00000
2009-09-30,23464.00000,5057.00000,455.00000,1444.00000,31555.00000,2954.00000,10528.00000,453.00000,2011.00000,15946.00000,47501.00000,11506.00000,,3502.00000,4355.00000,15861.00000,8210.00000,23353.00000,77.00000,31640.00000,47501.00000
